PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON,PLAYER(season),TEAM(season),OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,Off_kmean,Def_kmean,Ovr_kmean
Kobe Bryant,LAL,27,80,45,35,51.4,44.5,15.4,34.1,45.0,2.8,8.1,34.7,10.9,12.9,85.0,1.1,5.6,6.7,5.7,3.9,2.3,0.5,3.7,65.3,4,0,5.0,05-06,Kobe Bryant(05-06),LAL(05-06),109.7,105.0,4.7,22.8,1.44,11.5,2.2,11.2,6.7,8.0,49.1,55.9,37.8,93.2,18.1,2,0,0
LeBron James,CLE,21,79,47,32,52.5,38.7,13.7,28.5,48.0,2.0,5.9,33.5,9.4,12.7,73.8,1.2,7.5,8.7,8.1,4.1,1.9,1.0,2.8,66.1,21,5,4.3,05-06,LeBron James(05-06),CLE(05-06),108.2,104.4,3.8,31.5,2.0,17.7,2.3,15.0,8.6,8.9,51.5,56.8,32.9,91.25,19.2,2,0,0
Allen Iverson,PHI,31,72,35,37,50.4,38.6,13.2,29.6,44.7,1.2,3.6,32.3,11.0,13.5,81.4,0.7,3.1,3.8,8.6,4.0,2.3,0.2,2.0,59.4,18,0,-0.1,05-06,Allen Iverson(05-06),PHI(05-06),106.7,106.5,0.1,33.1,2.15,17.9,1.5,6.2,3.9,8.3,46.7,54.3,35.0,95.38,16.3,2,0,0
Dirk Nowitzki,DAL,28,81,60,21,53.5,37.3,13.0,27.1,48.0,1.9,4.7,40.6,9.3,10.4,90.1,2.0,10.6,12.6,3.9,2.7,1.0,1.4,2.8,62.9,35,0,8.8,05-06,Dirk Nowitzki(05-06),DAL(05-06),111.9,103.3,8.6,14.2,1.45,10.3,4.1,20.9,12.7,7.1,51.5,58.9,29.3,89.64,20.5,2,0,0
Carmelo Anthony,DEN,22,80,44,36,50.2,36.2,12.9,26.8,48.1,0.6,2.6,24.3,9.8,12.1,80.8,2.1,4.6,6.7,3.7,3.7,1.5,0.7,3.9,52.7,6,0,0.1,05-06,Carmelo Anthony(05-06),DEN(05-06),104.7,104.1,0.6,14.1,0.99,9.4,4.4,9.2,6.9,9.5,49.3,56.3,31.3,95.93,13.9,2,0,0
Dwyane Wade,MIA,24,75,48,27,51.3,36.2,12.4,25.0,49.5,0.2,1.3,17.1,11.1,14.2,78.3,1.9,5.7,7.6,8.9,4.7,2.6,1.0,3.8,64.8,16,2,8.6,05-06,Dwyane Wade(05-06),MIA(05-06),110.5,102.1,8.4,31.2,1.88,19.8,4.0,11.2,7.8,10.5,49.9,57.7,31.8,93.57,18.6,2,0,0
Gilbert Arenas,WAS,24,80,40,40,50.6,35.1,11.2,25.0,44.7,3.0,8.1,36.9,9.8,12.0,82.0,0.9,3.3,4.2,7.2,4.4,2.4,0.4,4.3,54.9,9,0,3.1,05-06,Gilbert Arenas(05-06),WAS(05-06),109.2,106.3,2.9,26.1,1.63,17.4,1.7,6.9,4.2,10.7,50.7,58.1,29.7,94.7,14.7,2,0,0
Paul Pierce,BOS,28,79,32,47,51.0,35.0,11.4,24.2,47.1,1.8,5.2,35.4,10.4,13.4,77.2,1.3,7.5,8.8,6.2,4.5,1.8,0.6,3.7,57.3,17,1,-1.0,05-06,Paul Pierce(05-06),BOS(05-06),106.8,107.5,-0.7,22.4,1.37,15.3,2.8,15.3,9.2,11.1,50.9,58.2,30.7,94.19,16.0,2,0,0
Tracy McGrady,HOU,27,47,27,20,53.1,34.9,12.5,30.8,40.6,2.2,7.1,31.2,7.7,10.4,74.7,1.4,7.9,9.3,6.8,3.7,1.8,1.2,2.7,61.9,6,0,1.9,05-06,Tracy McGrady(05-06),HOU(05-06),104.0,102.4,1.6,26.8,1.88,15.0,2.7,15.3,9.0,8.0,44.2,49.4,33.8,90.22,15.9,2,0,0
Yao Ming,HOU,25,57,27,30,52.8,34.5,12.7,24.4,51.9,0.0,0.0,0.0,9.1,10.7,85.3,4.0,11.7,15.7,2.3,4.0,0.8,2.5,5.3,62.9,34,0,2.4,05-06,Yao Ming(05-06),HOU(05-06),101.8,99.6,2.2,9.2,0.58,6.5,8.3,22.3,15.6,11.3,51.9,59.2,29.3,90.77,18.3,2,0,0
Vince Carter,NJN,29,79,49,30,52.1,34.2,11.7,27.2,43.0,2.2,6.6,34.1,8.6,10.8,79.9,2.4,5.9,8.3,6.1,3.8,1.7,0.9,4.2,57.4,8,1,5.9,05-06,Vince Carter(05-06),NJN(05-06),104.6,98.7,5.8,23.5,1.59,14.5,4.8,11.6,8.2,9.1,47.1,53.6,31.6,92.14,14.8,2,0,0
Shaquille O'Neal,MIA,34,59,42,17,51.5,33.7,13.7,22.8,60.0,0.0,0.0,0.0,6.3,13.4,46.9,4.9,10.5,15.4,3.2,4.8,0.7,3.0,6.6,63.1,24,1,7.7,05-06,Shaquille O'Neal(05-06),MIA(05-06),111.5,104.0,7.6,11.1,0.67,8.8,10.8,21.0,16.2,13.1,60.0,58.6,29.6,93.17,14.2,2,0,0
Ray Allen,SEA,30,78,35,43,51.8,33.5,11.7,25.7,45.4,4.6,11.2,41.2,5.5,6.1,90.3,1.2,4.5,5.7,4.9,3.2,1.8,0.3,2.6,50.6,1,0,-0.9,05-06,Ray Allen(05-06),SEA(05-06),111.9,112.5,-0.6,16.6,1.52,13.5,2.5,9.4,5.9,8.9,54.4,59.0,26.9,92.87,13.7,2,0,0
Michael Redd,MIL,26,80,39,41,51.4,33.3,11.2,24.9,45.0,2.7,6.8,39.5,8.2,9.4,87.7,1.3,4.3,5.6,3.8,2.8,1.6,0.1,2.6,47.8,0,0,1.4,05-06,Michael Redd(05-06),MIL(05-06),106.3,105.3,1.0,13.3,1.35,10.6,2.6,9.0,5.8,7.9,50.4,57.4,27.7,93.31,13.8,2,0,0
Elton Brand,LAC,27,79,44,35,51.1,32.2,12.5,23.7,52.7,0.0,0.0,33.3,7.3,9.4,77.5,3.9,9.1,13.0,3.4,2.9,1.3,3.3,3.7,64.1,45,0,3.1,05-06,Elton Brand(05-06),LAC(05-06),104.9,102.0,2.9,12.7,1.2,10.1,8.2,17.3,13.0,8.4,52.7,58.0,27.2,93.9,17.6,2,0,0
Richard Hamilton,DET,28,80,64,16,54.3,30.9,12.5,25.4,49.1,1.1,2.3,45.8,4.9,5.8,84.5,1.6,3.3,4.9,5.3,3.3,1.0,0.3,4.0,45.3,0,0,10.0,05-06,Richard Hamilton(05-06),DET(05-06),109.9,100.2,9.6,18.3,1.59,14.5,3.2,6.4,4.8,9.1,51.2,55.3,27.2,88.3,11.5,2,0,0
Jason Richardson,GSW,25,75,32,43,50.4,30.5,11.2,25.2,44.6,3.2,8.4,38.4,4.8,7.2,67.3,1.8,5.8,7.7,4.1,2.9,1.7,0.6,3.6,50.0,5,0,0.7,05-06,Jason Richardson(05-06),GSW(05-06),105.7,104.6,1.1,14.9,1.39,11.5,3.5,11.6,7.5,8.3,50.9,53.8,27.5,95.35,12.4,2,0,0
Corey Maggette,LAC,26,32,21,11,50.2,30.3,8.9,20.0,44.5,1.3,3.8,33.8,11.3,13.6,82.8,1.5,7.5,9.0,3.5,4.2,1.0,0.2,5.1,45.9,5,0,6.6,05-06,Corey Maggette(05-06),LAC(05-06),107.8,101.0,6.8,12.0,0.85,10.4,3.3,13.8,9.1,12.3,47.7,58.4,27.1,95.74,12.6,2,0,0
Jermaine O'Neal,IND,27,51,26,25,52.9,30.1,11.2,23.6,47.2,0.1,0.3,30.0,7.7,10.8,70.9,3.0,11.0,14.0,3.9,4.4,0.8,3.4,5.2,60.9,19,0,3.0,05-06,Jermaine O'Neal(05-06),IND(05-06),103.8,100.5,3.3,14.8,0.88,10.6,6.1,20.4,13.6,12.1,47.4,53.0,28.9,90.84,15.2,2,0,0
Kevin Garnett,MIN,30,76,31,45,53.4,29.9,11.3,21.5,52.6,0.1,0.5,26.7,7.2,8.8,81.0,3.9,13.6,17.4,5.6,3.3,1.9,1.9,3.7,67.4,62,0,0.7,05-06,Kevin Garnett(05-06),MIN(05-06),103.8,102.7,1.1,19.4,1.71,16.3,8.1,26.0,17.5,9.6,52.9,58.9,25.2,90.03,21.4,2,0,0
Chris Bosh,TOR,22,70,26,44,52.3,29.9,10.4,20.6,50.5,0.0,0.2,0.0,9.0,11.0,81.6,3.9,8.4,12.3,3.4,3.0,0.9,1.5,4.0,54.1,32,0,-1.1,05-06,Chris Bosh(05-06),TOR(05-06),109.5,110.5,-1.0,11.7,1.15,10.7,7.9,18.4,13.0,9.3,50.5,58.5,25.2,91.91,14.8,2,0,0
Dijon Thompson,PHX,23,10,8,2,45.2,29.8,11.7,26.6,44.0,4.3,11.7,36.4,2.1,2.1,100.0,4.3,7.4,11.7,1.1,2.1,3.2,1.1,6.4,56.1,0,0,-12.8,05-06,Dijon Thompson(05-06),PHX(05-06),94.7,106.3,-11.6,4.2,0.5,3.6,8.9,14.0,11.6,7.1,52.0,54.1,25.2,106.66,14.5,1,2,2
Tony Parker,SAS,24,80,61,19,53.1,29.5,12.2,22.2,54.8,0.2,0.7,30.6,4.9,7.0,70.7,0.7,4.4,5.1,9.0,4.9,1.6,0.1,3.1,49.4,8,0,10.0,05-06,Tony Parker(05-06),SAS(05-06),107.7,97.5,10.1,31.1,1.85,23.0,1.6,8.2,5.1,12.5,55.3,58.4,26.6,90.45,15.4,2,0,0
Zach Randolph,POR,24,74,21,53,54.7,28.6,11.5,26.4,43.6,0.3,1.2,29.1,5.3,7.4,71.4,4.1,8.6,12.7,3.1,3.5,1.2,0.3,4.0,49.6,21,0,-9.5,05-06,Zach Randolph(05-06),POR(05-06),100.5,110.4,-9.9,11.1,0.87,8.5,7.9,17.5,12.5,9.8,44.3,48.3,28.4,87.65,11.4,2,0,0
Tim Duncan,SAS,30,80,61,19,53.7,28.6,11.1,22.8,48.4,0.0,0.1,40.0,6.5,10.3,62.9,4.5,12.5,17.0,4.9,3.8,1.3,3.1,4.2,65.9,52,0,10.0,05-06,Tim Duncan(05-06),SAS(05-06),106.6,97.1,9.5,16.2,1.28,13.5,9.1,23.9,16.7,10.6,48.5,52.3,27.4,89.21,17.2,2,0,0
Mike James,TOR,31,79,25,54,51.8,28.4,10.2,21.7,46.9,3.0,6.8,44.2,5.0,6.0,83.7,0.8,3.8,4.6,8.1,3.6,1.3,0.1,3.8,46.5,11,0,-2.4,05-06,Mike James(05-06),TOR(05-06),108.6,110.9,-2.3,27.6,2.23,22.7,1.6,8.4,4.9,10.1,53.8,58.3,24.5,92.72,12.5,2,0,0
Pau Gasol,MEM,25,80,47,33,54.6,28.3,10.4,20.8,50.3,0.1,0.2,25.0,7.4,10.7,68.9,3.3,9.1,12.4,6.5,4.1,0.8,2.7,3.2,59.2,33,1,5.2,05-06,Pau Gasol(05-06),MEM(05-06),105.3,100.2,5.1,23.4,1.58,17.8,6.7,17.6,12.2,11.3,50.4,55.5,26.1,87.9,16.6,2,0,0
Zydrunas Ilgauskas,CLE,31,78,48,30,53.1,28.3,10.5,20.7,50.6,0.0,0.1,0.0,7.4,8.8,83.4,5.7,8.0,13.7,2.1,3.6,0.9,3.2,6.5,56.5,18,0,4.4,05-06,Zydrunas Ilgauskas(05-06),CLE(05-06),105.3,101.2,4.0,7.3,0.59,7.0,11.5,15.8,13.7,12.0,50.6,57.6,24.3,90.28,13.3,2,1,1
Manu Ginobili,SAS,28,65,51,14,51.7,27.9,8.8,19.1,46.2,2.4,6.2,38.2,8.0,10.3,77.8,1.2,5.4,6.6,6.7,3.4,2.9,0.7,4.4,53.3,2,0,11.7,05-06,Manu Ginobili(05-06),SAS(05-06),107.9,96.5,11.4,21.5,1.94,19.9,2.5,10.8,6.8,10.2,52.4,59.3,23.8,92.8,14.8,2,0,0
Rashard Lewis,SEA,26,78,33,45,51.2,27.9,9.6,20.5,46.7,2.5,6.6,38.4,6.2,7.6,81.8,2.0,5.0,6.9,3.2,2.5,1.8,0.9,3.4,46.7,5,0,-3.6,05-06,Rashard Lewis(05-06),SEA(05-06),110.2,113.9,-3.7,10.6,1.29,10.9,3.9,10.6,7.2,8.5,52.9,58.5,22.8,93.65,11.5,2,0,0
Chauncey Billups,DET,29,81,64,17,54.6,27.9,7.9,18.9,41.8,3.4,7.9,43.3,8.7,9.7,89.4,0.8,3.9,4.7,13.1,3.2,1.3,0.1,3.0,54.4,27,0,11.0,05-06,Chauncey Billups(05-06),DET(05-06),111.3,100.5,10.8,39.2,4.11,33.5,1.5,7.7,4.6,8.1,50.9,60.2,22.5,87.79,16.2,3,0,0
Mike Bibby,SAC,28,82,44,38,50.8,27.7,9.6,22.2,43.2,3.1,8.0,38.6,5.5,6.5,84.9,0.5,3.4,3.9,7.1,3.2,1.3,0.2,2.7,44.3,8,0,2.3,05-06,Mike Bibby(05-06),SAC(05-06),106.5,103.9,2.6,24.4,2.23,20.2,1.0,6.7,3.9,9.0,50.1,55.4,24.9,94.58,11.7,2,0,0
Ben Gordon,CHI,23,80,40,40,50.8,27.6,9.9,23.6,42.2,3.4,7.8,43.5,4.3,5.5,78.5,0.9,3.6,4.5,4.9,3.7,1.5,0.1,4.9,41.6,0,0,1.7,05-06,Ben Gordon(05-06),CHI(05-06),104.0,102.6,1.4,17.0,1.33,14.2,1.7,6.9,4.3,10.7,49.4,53.1,25.8,94.39,9.6,2,0,0
Eddy Curry,NYK,23,72,20,52,52.6,27.6,9.5,16.8,56.3,0.0,0.0,0.0,8.7,13.7,63.2,4.1,8.1,12.2,0.5,5.0,0.8,1.6,6.7,45.1,10,0,-11.0,05-06,Eddy Curry(05-06),NYK(05-06),100.7,111.6,-11.0,2.0,0.11,1.9,8.5,16.5,12.5,17.7,56.3,60.4,24.2,91.3,9.9,2,1,1
Zendon Hamilton,PHI,31,12,8,4,51.0,27.4,7.4,14.7,50.0,0.0,0.0,0.0,12.6,18.9,66.7,3.2,8.4,11.6,0.0,6.3,4.2,0.0,5.3,47.6,0,0,-20.0,05-06,Zendon Hamilton(05-06),PHI(05-06),92.6,115.1,-22.4,0.0,0.0,0.0,6.8,25.0,14.5,21.4,50.0,59.3,26.2,93.12,10.0,2,1,1
Eddie House,PHX,28,81,53,28,48.7,27.3,11.0,26.0,42.2,4.2,10.8,38.9,1.1,1.4,80.5,0.5,4.0,4.5,5.1,2.6,1.4,0.4,3.3,43.2,0,0,2.7,05-06,Eddie House(05-06),PHX(05-06),104.4,102.4,2.0,17.0,1.95,14.8,1.1,7.8,4.5,7.6,50.3,51.2,26.5,98.29,9.7,1,2,2
Carlos Boozer,UTA,24,33,17,16,52.0,27.2,11.1,20.2,54.9,0.0,0.0,0.0,5.0,6.9,72.3,3.7,10.7,14.4,4.5,3.5,1.5,0.4,5.3,53.5,11,0,-3.2,05-06,Carlos Boozer(05-06),UTA(05-06),108.2,110.9,-2.7,15.4,1.28,14.2,7.6,22.7,15.1,11.2,54.9,58.5,23.1,92.58,15.1,2,0,0
Grant Hill,ORL,33,21,6,15,52.3,27.2,10.2,20.8,49.0,0.2,0.7,25.0,6.7,8.7,76.5,1.3,5.6,6.8,4.1,3.0,2.0,0.5,4.3,46.2,0,0,-3.8,05-06,Grant Hill(05-06),ORL(05-06),103.8,107.8,-3.9,14.2,1.37,12.9,2.6,12.2,7.3,9.4,49.4,55.2,24.3,91.7,12.6,2,0,0
Marcus Fizer,NOK,27,3,0,3,52.7,27.0,12.2,23.0,52.9,1.4,1.4,100.0,1.4,2.7,50.0,1.4,8.1,9.5,1.4,2.7,0.0,0.0,6.8,37.7,0,0,-16.2,05-06,Marcus Fizer(05-06),NOK(05-06),97.3,115.1,-17.8,5.0,0.5,4.8,2.9,18.8,10.4,9.5,55.9,55.9,23.8,90.5,8.7,1,2,2
Mehmet Okur,UTA,27,82,41,41,53.8,26.9,9.5,20.6,46.0,1.5,4.3,34.2,6.5,8.3,78.0,3.9,9.8,13.6,3.5,3.0,0.7,1.3,5.2,51.7,35,0,-2.1,05-06,Mehmet Okur(05-06),UTA(05-06),104.2,106.0,-1.8,12.6,1.19,11.6,7.7,19.8,13.7,9.8,49.6,55.4,23.1,89.4,14.4,2,0,0
Jameer Nelson,ORL,24,62,31,31,52.8,26.8,10.3,21.3,48.3,2.1,4.9,42.4,4.2,5.4,77.9,1.2,4.2,5.3,8.9,4.4,2.1,0.3,5.1,49.2,2,0,2.0,05-06,Jameer Nelson(05-06),ORL(05-06),107.2,105.4,1.8,29.7,2.04,24.2,2.5,8.4,5.5,11.9,53.1,56.7,24.4,90.89,12.8,2,0,0
Al Harrington,ATL,26,76,24,52,52.7,26.7,10.4,23.1,45.2,1.3,3.6,34.6,4.6,6.6,69.4,2.5,7.4,9.9,4.5,3.7,1.6,0.3,5.7,47.3,15,0,-6.3,05-06,Al Harrington(05-06),ATL(05-06),104.6,111.1,-6.5,15.5,1.22,13.1,5.0,15.7,10.2,10.8,47.9,51.3,25.7,91.01,10.5,2,0,0
Wally Szczerbiak,BOS,29,72,33,39,53.4,26.7,9.6,19.8,48.7,2.0,5.0,40.0,5.4,6.1,89.7,1.5,4.6,6.1,4.2,2.7,0.8,0.4,2.9,41.1,2,0,0.6,05-06,Wally Szczerbiak(05-06),BOS(05-06),106.0,105.6,0.5,13.9,1.57,14.3,3.1,9.2,6.2,9.1,53.8,59.5,22.0,89.91,12.3,2,0,0
Shawn Marion,PHX,28,81,53,28,49.1,26.6,10.8,20.5,52.5,1.4,4.4,33.1,3.6,4.5,80.9,3.7,10.7,14.4,2.2,1.9,2.4,2.1,3.4,58.7,60,0,6.2,05-06,Shawn Marion(05-06),PHX(05-06),109.9,103.7,6.2,6.8,1.14,8.1,7.8,21.0,14.6,7.1,56.0,59.1,21.8,97.73,15.9,2,2,2
Chris Webber,PHI,33,75,33,42,50.7,26.6,10.8,24.9,43.4,0.4,1.3,27.3,4.6,6.1,75.6,3.2,9.8,13.0,4.5,3.2,1.8,1.1,3.8,54.4,38,0,-2.3,05-06,Chris Webber(05-06),PHI(05-06),105.3,107.8,-2.5,15.7,1.41,12.7,6.7,20.3,13.5,9.1,44.1,48.2,27.1,94.66,12.5,2,0,0
Jason Terry,DAL,28,80,58,22,53.7,26.3,9.9,21.1,47.0,3.3,8.0,41.1,3.2,4.0,80.0,0.6,2.4,3.0,5.9,2.6,1.9,0.5,3.8,43.5,2,0,9.2,05-06,Jason Terry(05-06),DAL(05-06),112.1,103.2,9.0,18.9,2.27,18.7,1.2,4.8,3.0,8.2,54.7,57.5,21.9,89.32,11.3,2,0,0
David West,NOK,25,74,35,39,52.6,26.3,11.0,21.6,51.2,0.1,0.2,27.3,4.1,4.9,84.3,3.5,7.9,11.4,1.9,2.2,1.3,1.3,4.5,48.5,17,0,-3.5,05-06,David West(05-06),NOK(05-06),102.7,105.7,-3.0,7.0,0.88,6.9,6.8,16.6,11.5,7.9,51.3,55.4,22.6,91.44,13.2,2,1,1
Steve Nash,PHX,32,79,54,25,49.2,26.2,9.5,18.6,51.2,2.6,6.0,43.9,4.5,4.9,92.1,0.8,5.0,5.9,14.5,4.9,1.1,0.2,2.1,54.1,43,1,8.3,05-06,Steve Nash(05-06),PHX(05-06),112.3,104.1,8.2,43.5,2.99,36.5,1.8,9.9,6.0,12.2,58.3,63.2,22.7,97.45,16.6,3,0,0
Channing Frye,NYK,23,65,19,46,51.3,26.2,9.9,20.9,47.7,0.1,0.3,33.3,6.2,7.5,82.5,4.5,7.7,12.2,1.7,3.2,1.0,1.5,6.5,47.8,3,0,-1.6,05-06,Channing Frye(05-06),NYK(05-06),102.9,103.9,-1.0,6.6,0.55,5.9,8.9,15.9,12.4,10.9,47.9,54.1,23.3,93.84,12.2,2,1,1
Richard Jefferson,NJN,26,78,49,29,52.2,25.9,8.4,17.1,49.3,1.0,3.2,31.9,8.0,9.9,81.2,1.6,7.5,9.1,5.1,3.0,1.0,0.3,3.3,45.4,20,0,4.1,05-06,Richard Jefferson(05-06),NJN(05-06),104.0,100.2,3.8,17.5,1.71,17.1,3.2,14.9,9.0,10.0,52.2,60.3,21.7,91.89,14.5,2,0,0
Antawn Jamison,WAS,30,82,42,40,50.6,25.9,10.2,23.0,44.2,2.3,5.7,39.4,3.3,4.6,73.1,2.6,9.2,11.8,2.4,2.1,1.4,0.2,2.9,46.3,35,0,3.8,05-06,Antawn Jamison(05-06),WAS(05-06),109.2,105.9,3.3,8.3,1.15,8.2,5.0,19.3,11.9,7.1,49.1,51.8,23.3,94.59,12.9,2,2,2
Joe Johnson,ATL,25,82,26,56,52.3,25.9,9.9,21.9,45.3,2.0,5.6,35.6,4.1,5.2,79.1,1.5,3.7,5.3,8.4,4.2,1.6,0.5,2.9,46.9,13,1,-5.9,05-06,Joe Johnson(05-06),ATL(05-06),104.0,110.1,-6.1,29.0,2.01,23.1,3.0,7.8,5.3,11.5,49.9,53.7,24.1,91.61,12.5,2,0,0
Sam Cassell,LAC,36,78,45,33,50.9,25.8,9.5,21.3,44.3,1.3,3.6,36.8,5.5,6.4,86.3,0.8,4.7,5.5,9.4,3.4,1.4,0.2,4.3,48.1,12,0,4.4,05-06,Sam Cassell(05-06),LAC(05-06),106.0,102.1,3.9,31.0,2.81,25.6,1.6,9.1,5.5,9.1,47.5,53.4,24.4,94.08,12.6,3,0,0
Juan Dixon,POR,27,76,19,57,52.9,25.8,9.8,22.6,43.5,1.8,4.7,38.2,4.3,5.3,80.4,0.8,4.0,4.9,4.1,3.1,1.6,0.2,4.3,39.9,0,0,-9.2,05-06,Juan Dixon(05-06),POR(05-06),99.6,108.8,-9.1,14.4,1.32,12.8,1.6,8.2,4.8,9.7,47.4,51.6,24.2,90.8,9.0,2,0,0
Josh Howard,DAL,26,59,44,15,53.4,25.7,9.8,20.7,47.1,0.8,1.8,42.9,5.5,7.4,73.4,3.4,6.9,10.3,3.1,2.2,1.9,0.7,4.7,48.5,12,0,8.8,05-06,Josh Howard(05-06),DAL(05-06),112.2,102.9,9.3,10.0,1.41,10.6,7.0,13.8,10.4,7.5,48.9,53.6,22.5,90.09,12.3,2,0,0
Peja Stojakovic,IND,29,71,31,40,51.9,25.7,8.9,20.3,43.7,3.2,8.1,40.1,4.7,5.2,91.5,1.6,6.7,8.3,2.7,2.1,0.9,0.2,3.4,41.0,5,0,1.5,05-06,Peja Stojakovic(05-06),IND(05-06),106.2,105.1,1.1,8.9,1.32,10.0,3.2,13.0,8.2,7.6,51.7,57.0,21.3,92.27,11.3,2,2,2
Amar'e Stoudemire,PHX,23,3,2,1,49.0,25.2,8.7,26.2,33.3,0.0,1.0,0.0,7.8,8.7,88.9,5.8,9.7,15.5,1.9,1.0,1.0,2.9,3.9,57.5,0,0,-3.9,05-06,Amar'e Stoudemire(05-06),PHX(05-06),100.0,100.9,-0.9,6.3,2.0,5.9,10.7,19.2,14.8,2.9,33.3,42.0,27.4,99.43,11.4,2,1,1
Jonathan Bender,IND,25,2,1,1,51.7,25.0,10.0,12.5,80.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,10.0,10.0,5.0,0.0,0.0,2.5,5.0,52.0,0,0,-20.0,05-06,Jonathan Bender(05-06),IND(05-06),102.5,116.7,-14.2,16.7,0.0,25.0,0.0,23.5,13.3,0.0,80.0,85.0,14.6,95.15,16.9,2,1,1
Ruben Patterson,DEN,30,71,29,42,52.1,25.0,9.5,18.5,51.5,0.0,0.4,7.7,5.9,9.8,60.1,3.4,3.7,7.1,3.7,4.4,2.2,0.6,4.4,43.1,0,0,-6.0,05-06,Ruben Patterson(05-06),DEN(05-06),101.1,106.4,-5.3,12.6,0.85,11.9,6.9,7.2,7.1,14.1,51.6,54.7,23.6,92.33,9.3,2,1,1
Baron Davis,GSW,27,54,23,31,50.4,24.7,8.6,22.0,38.9,2.6,8.3,31.5,5.0,7.4,67.5,1.2,4.9,6.0,12.3,4.1,2.3,0.4,4.2,54.2,22,1,0.8,05-06,Baron Davis(05-06),GSW(05-06),105.5,104.9,0.7,41.2,3.02,29.5,2.2,9.8,5.9,9.8,44.8,48.9,25.8,95.25,12.7,3,0,0
Caron Butler,WAS,26,75,40,35,50.7,24.7,9.3,20.4,45.5,0.8,2.2,34.2,5.4,6.2,87.0,2.1,6.6,8.7,3.5,3.3,2.4,0.3,4.5,45.3,10,0,2.2,05-06,Caron Butler(05-06),WAS(05-06),107.8,106.0,1.8,12.0,1.06,11.7,4.2,13.9,8.9,11.0,47.4,53.5,22.8,94.41,11.7,2,0,0
Tony Delk,DET,32,24,15,9,52.2,24.7,9.6,21.8,44.1,2.7,6.4,42.6,2.7,3.7,74.1,1.9,5.3,7.2,4.5,2.6,1.8,0.1,3.8,43.1,0,0,-3.0,05-06,Tony Delk(05-06),DET(05-06),103.0,107.0,-4.0,15.1,1.74,14.7,3.4,11.8,7.1,8.4,50.3,52.6,21.8,91.59,10.6,1,2,2
Bobby Jackson,MEM,33,71,43,28,54.2,24.6,8.7,22.8,38.2,3.9,10.1,38.9,3.3,4.5,73.3,1.3,5.5,6.8,5.9,3.1,1.9,0.0,4.7,44.3,0,0,5.4,05-06,Bobby Jackson(05-06),MEM(05-06),103.5,98.2,5.4,20.5,1.93,17.6,2.7,10.9,6.8,9.1,46.9,49.7,24.4,88.6,10.2,1,0,0
Beno Udrih,SAS,23,55,42,13,52.4,24.6,9.5,20.8,45.5,2.1,6.3,34.3,3.5,4.5,78.0,1.6,3.0,4.6,8.2,4.7,1.3,0.2,4.9,42.0,0,0,3.7,05-06,Beno Udrih(05-06),SAS(05-06),103.0,99.1,3.9,27.3,1.74,22.9,3.3,6.3,4.8,13.2,50.6,53.9,24.2,91.81,9.7,3,0,0
Earl Boykins,DEN,30,60,35,25,49.8,24.4,8.8,21.3,41.0,2.0,5.8,34.6,4.9,5.6,87.4,0.7,1.9,2.6,7.4,2.7,1.5,0.1,2.4,41.0,1,0,-1.7,05-06,Earl Boykins(05-06),DEN(05-06),103.6,105.9,-2.3,25.4,2.77,22.1,1.3,4.1,2.6,8.0,45.7,51.3,22.9,96.11,10.7,3,0,0
Amir Johnson,DET,19,3,1,2,47.3,24.4,8.5,12.2,70.0,2.4,3.7,66.7,4.9,4.9,100.0,3.7,1.2,4.9,3.7,4.9,0.0,2.4,8.5,38.2,0,0,-26.8,05-06,Amir Johnson(05-06),DET(05-06),98.8,124.1,-25.3,12.5,0.75,15.8,7.7,2.4,5.0,21.1,80.0,85.0,16.8,102.15,8.4,2,0,0
Jerry Stackhouse,DAL,31,55,41,14,52.0,24.4,8.3,20.6,40.1,1.2,4.4,27.7,6.7,7.5,88.2,1.1,4.1,5.2,5.5,4.1,1.3,0.3,3.3,39.5,0,0,4.9,05-06,Jerry Stackhouse(05-06),DAL(05-06),105.9,101.6,4.3,18.6,1.32,16.3,2.2,8.2,5.3,12.3,43.1,51.1,24.2,91.98,9.9,2,0,0
Ricky Davis,MIN,26,78,29,49,51.5,24.3,9.4,20.9,44.8,1.2,3.9,30.2,4.4,5.5,79.7,1.0,4.6,5.6,6.3,3.4,1.5,0.3,3.0,42.3,3,0,-1.1,05-06,Ricky Davis(05-06),MIN(05-06),103.9,104.8,-0.8,21.1,1.85,19.1,2.2,9.0,5.7,10.3,47.6,52.1,23.6,93.38,11.2,2,0,0
Mike Miller,MEM,26,74,42,32,54.1,24.2,8.5,18.1,46.6,3.3,8.1,40.7,4.0,5.0,80.0,1.0,8.5,9.5,4.8,3.3,1.2,0.6,4.1,45.1,6,1,2.0,05-06,Mike Miller(05-06),MEM(05-06),103.1,101.2,1.9,17.1,1.43,17.0,2.0,16.8,9.4,11.9,55.7,59.5,20.6,88.61,14.1,2,0,0
