PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON,PLAYER(season),TEAM(season),OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,Off_kmean,Def_kmean,Ovr_kmean
Adam Morrison,CHA,22,78,30,48,50.3,19.8,7.7,20.4,37.6,1.9,5.6,33.7,2.6,3.7,71.0,1.2,3.8,5.0,3.5,2.8,0.6,0.1,3.9,30.5,0,0,-5.2,06-07,Adam Morrison(06-07),CHA(06-07),99.5,105.6,-6.1,12.1,1.25,12.4,2.3,8.1,5.1,9.9,42.2,45.0,21.6,94.92,5.1,1,2,2
Bonzi Wells,HOU,30,28,13,15,53.8,19.8,7.7,18.9,41.1,0.1,0.6,14.3,4.2,7.5,56.1,2.4,8.6,10.9,2.8,5.2,2.2,1.2,5.7,42.1,0,0,0.6,06-07,Bonzi Wells(06-07),HOU(06-07),98.0,97.8,0.2,10.0,0.54,9.4,4.7,16.2,10.6,17.3,41.3,44.6,23.5,89.03,6.9,0,1,1
Raymond Felton,CHA,23,78,31,47,51.2,19.8,7.1,18.5,38.4,1.9,5.6,33.0,3.7,4.6,79.7,0.9,3.9,4.8,9.8,4.2,2.1,0.2,3.3,43.1,11,0,-2.2,06-07,Raymond Felton(06-07),CHA(06-07),103.1,105.3,-2.2,31.4,2.37,28.5,1.8,8.1,4.9,12.0,43.4,48.1,21.5,93.76,10.0,3,0,0
Shareef Abdur-Rahim,SAC,30,80,31,49,50.2,19.7,7.7,16.3,47.4,0.1,0.5,15.0,4.2,5.8,72.6,3.0,6.9,9.9,2.7,2.9,1.3,1.0,6.1,39.8,4,0,-4.7,06-07,Shareef Abdur-Rahim(06-07),SAC(06-07),103.3,107.8,-4.4,9.2,0.94,11.1,6.2,14.8,10.4,11.8,47.6,52.4,19.4,95.78,8.0,0,1,1
Pops Mensah-Bonsu,DAL,23,12,9,3,48.5,19.7,7.5,11.6,64.7,0.0,0.0,0.0,4.8,12.2,38.9,6.1,8.2,14.3,0.0,6.1,0.7,0.0,5.4,32.8,0,0,4.1,06-07,Pops Mensah-Bonsu(06-07),DAL(06-07),100.7,99.3,1.4,0.0,0.0,0.0,12.2,16.7,14.4,25.7,64.7,58.2,20.5,97.6,5.9,0,1,1
Paul Millsap,UTA,22,82,51,31,51.9,19.7,7.4,14.0,52.5,0.0,0.1,33.3,4.9,7.3,67.3,6.5,8.5,14.9,2.2,3.3,2.4,2.6,8.3,52.5,7,0,5.1,06-07,Paul Millsap(06-07),UTA(06-07),107.4,101.7,5.7,6.8,0.66,9.6,13.1,18.2,15.6,14.5,52.6,57.1,17.4,92.66,11.0,0,1,1
Nazr Mohammed,DET,29,51,34,17,53.3,19.7,8.1,15.3,53.2,0.0,0.0,0.0,3.4,5.7,61.0,6.1,9.7,15.8,0.6,3.0,1.9,2.8,9.2,50.5,2,0,-2.3,06-07,Nazr Mohammed(06-07),DET(06-07),103.9,105.9,-2.0,2.0,0.21,2.9,12.1,18.2,15.2,13.9,53.2,55.4,18.1,90.12,8.4,0,1,1
Lynn Greer,MIL,27,41,10,31,51.0,19.7,7.2,16.6,43.3,2.1,6.1,34.6,3.2,3.8,84.4,0.2,3.0,3.2,6.3,2.1,2.0,0.1,3.8,37.2,0,0,-2.7,06-07,Lynn Greer(06-07),MIL(06-07),103.4,105.1,-1.7,20.5,2.94,23.5,0.5,5.9,3.2,8.0,49.6,53.8,18.0,94.6,8.9,3,0,0
Mickael Pietrus,GSW,25,72,37,35,47.6,19.7,7.0,14.4,48.8,2.3,5.9,38.8,3.3,5.2,64.8,2.0,6.0,8.0,1.5,2.6,1.2,1.4,5.4,36.6,4,0,-4.3,06-07,Mickael Pietrus(06-07),GSW(06-07),103.1,107.1,-4.0,4.9,0.59,7.3,4.0,12.6,8.3,12.4,56.7,59.0,17.1,100.97,7.8,1,2,2
Cuttino Mobley,LAC,31,78,38,40,51.9,19.7,7.1,16.1,44.0,1.8,4.5,41.1,3.7,4.4,83.7,0.9,3.9,4.9,3.6,2.6,1.7,0.4,3.4,34.7,0,0,-0.4,06-07,Cuttino Mobley(06-07),LAC(06-07),103.3,103.8,-0.5,11.7,1.37,15.0,2.0,7.9,5.0,11.0,49.7,54.6,18.1,92.48,8.4,1,2,2
Michael Sweetney,CHI,24,48,29,19,49.4,19.6,7.4,17.2,43.3,0.0,0.0,0.0,4.7,8.5,56.1,5.8,9.6,15.4,3.6,5.4,1.2,1.4,10.1,45.8,1,0,3.7,06-07,Michael Sweetney(06-07),CHI(06-07),97.3,93.6,3.7,12.2,0.67,12.1,11.6,18.7,15.2,18.2,43.3,46.9,22.3,97.18,6.5,0,1,1
